ensembl_peptide_id	entrezgene_id
ENSP00000261047	9626
ENSP00000231509	2908
ENSP00000225688	51655
ENSP00000253788	6155
ENSP00000260270	2230
ENSP00000216181	4627
ENSP00000258455	64965
ENSP00000228641	4618
ENSP00000216127	23551
ENSP00000255224	6860
ENSP00000247879	50831
ENSP00000222747	23554
ENSP00000253401	23229
ENSP00000238558	145258
ENSP00000250405	599
ENSP00000216024	11144
ENSP00000061240	7092
ENSP00000256383	1965
ENSP00000216862	1591
ENSP00000251775	8723
ENSP00000258787	64005
ENSP00000242375	6718
ENSP00000237283	134637
ENSP00000254854	3000
ENSP00000225174	10105
ENSP00000247883	54429
ENSP00000222462	51384
ENSP00000216452	5283
ENSP00000260682	1559
ENSP00000253332	9590
ENSP00000222345	23094
ENSP00000256001	57180
ENSP00000026218	9091
ENSP00000261681	64398
ENSP00000216442	51382
ENSP00000261951	57472
ENSP00000260702	84171
ENSP00000226105	29098
ENSP00000230050	6206
ENSP00000216774	6729
ENSP00000251074	79023
ENSP00000173229	9423
ENSP00000238616	91754
ENSP00000219406	64714
ENSP00000253577	22
ENSP00000261590	1829
ENSP00000250559	5908
ENSP00000226193	5957
ENSP00000252172	8735
ENSP00000250378	1215
ENSP00000255381	4622
ENSP00000216336	1511
ENSP00000226207	4619
ENSP00000230538	3910
ENSP00000262178	7434
ENSP00000245503	4620
ENSP00000221476	1158
ENSP00000218147	63035
ENSP00000246548	10054
ENSP00000233154	8440
ENSP00000222574	26959
ENSP00000231449	3565
ENSP00000190983	8839
ENSP00000261994	51156
ENSP00000198801	80168
ENSP00000216185	25828
ENSP00000250416	10038
ENSP00000218008	23439
ENSP00000258168	53630
ENSP00000216190	8664
ENSP00000228644	4617
ENSP00000260264	25833
ENSP00000259239	92856
ENSP00000247829	7103
ENSP00000247881	50832
ENSP00000229758	26271
ENSP00000175756	26469
ENSP00000253329	85313
ENSP00000255631	23640
ENSP00000261643	1352
ENSP00000210313	5711
ENSP00000262193	5689
ENSP00000261799	5159
ENSP00000248706	65997
ENSP00000229708	80329
ENSP00000261302	1112
ENSP00000254803	57050
